"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"27790","4347184","LOC4347184","9","uncharacterized LOC4347184","protein-coding","Os09g0442800","LOC_Os09g27070"
"27791","4347185","LOC4347185","9","O-fucosyltransferase 35","protein-coding","Os09g0442900","LOC_Os09g27080"
"27792","112936349","LOC112936349","9","F-box/FBD/LRR-repeat protein At5g53840-like","protein-coding","Os09g0443100","LOC_Os09g27100"
"27793","107275421","LOC107275421","9","uncharacterized LOC107275421","protein-coding","Os09g0443200","LOC_Os09g27110"
"27794","4347187","LOC4347187","9","mediator of RNA polymerase II transcription subunit 20a","protein-coding","Os09g0443400","LOC_Os09g27135"
"27795","107276504","LOC107276504","9","serine/threonine-protein kinase HT1","protein-coding","Os09g0443600","LOC_Os09g27150"
"27796","9272047","LOC9272047","9","protein BIG GRAIN 1-like","protein-coding","Os09g0443700","LOC_Os09g27160"
"27797","107276552","LOC107276552","9","uncharacterized LOC107276552","protein-coding","Os09g0444100","LOC_Os09g27190"
"27798","4347190","LOC4347190","9","phospholipid:diacylglycerol acyltransferase 1","protein-coding","Os09g0444200","LOC_Os09g27210"
"27799","9266134","LOC9266134","9","protein Brevis radix-like 1","protein-coding","Os09g0444500","LOC_Os09g27220"
"27800","4347193","LOC4347193","9","solute carrier family 25 member 44","protein-coding","Os09g0444700","LOC_Os09g27240"
"27801","4347194","LOC4347194","9","uncharacterized LOC4347194","protein-coding","Os09g0444800","LOC_Os09g27250"
"27802","4347195","LOC4347195","9","uncharacterized LOC4347195","protein-coding","Os09g0444900","LOC_Os09g27260"
"27803","107275994","LOC107275994","9","pre-rRNA processing protein FTSJ3","protein-coding","Os09g0445100","LOC_Os09g27270"
"27804","4347197","LOC4347197","9","zinc finger protein 8","protein-coding","Os09g0445500","LOC_Os09g27320"
"27805","4347198","LOC4347198","9","uncharacterized LOC4347198","protein-coding","Os09g0445600","LOC_Os09g27330"
"27806","4347199","LOC4347199","9","uncharacterized LOC4347199","protein-coding","Os09g0445700","LOC_Os09g27340"
"27807","4347200","LOC4347200","9","uncharacterized LOC4347200","protein-coding","Os09g0446000","None"
"27808","4347202","LOC4347202","9","gamma-tubulin complex component 3","protein-coding","Os09g0446200","LOC_Os09g27370"
"27809","112936350","LOC112936350","9","probable E3 ubiquitin-protein ligase ATL45","protein-coding","Os09g0446275","LOC_Os09g27380"
"27810","107278616","LOC107278616","9","uncharacterized LOC107278616","protein-coding","Os09g0446700","LOC_Os09g27410"
"27811","4347204","LOC4347204","9","formate--tetrahydrofolate ligase","protein-coding","Os09g0446800","LOC_Os09g27420"
"27812","4347205","LOC4347205","9","homeobox-leucine zipper protein HOX11-like","protein-coding","Os09g0447000","LOC_Os09g27450"
"27813","4347207","LOC4347207","9","cytochrome P450 76M5-like","protein-coding","Os09g0447300","LOC_Os09g27500"
"27814","4347208","LOC4347208","9","cytochrome P450 76M5-like","protein-coding","Os09g0447500","LOC_Os09g27510"
"27815","107278055","LOC107278055","9","putative F-box protein At4g09190","protein-coding","Os09g0447600","LOC_Os09g27520"
"27816","4347209","LOC4347209","9","uncharacterized LOC4347209","protein-coding","Os09g0447900","LOC_Os09g27550"
"27817","4347210","LOC4347210","9","putative F-box protein At3g52320","protein-coding","Os09g0448100","LOC_Os09g27570"
"27818","4347211","LOC4347211","9","probable potassium transporter 17","protein-coding","Os09g0448200","LOC_Os09g27580"
"27819","9266552","LOC9266552","9","uncharacterized LOC9266552","protein-coding","Os09g0448500","LOC_Os09g27590"
"27820","9269015","LOC9269015","9","uncharacterized LOC9269015","protein-coding","Os09g0448900","LOC_Os09g27610"
"27821","4347213","LOC4347213","9","PHD finger protein PERSISTENT TAPETAL CELL 1-like","protein-coding","Os09g0449000","LOC_Os09g27620"
"27822","4347220","LOC4347220","9","uncharacterized LOC4347220","protein-coding","Os09g0450200","LOC_Os09g27690"
"27823","4347221","LOC4347221","9","65-kDa microtubule-associated protein 6","protein-coding","Os09g0450300","LOC_Os09g27700"
"27824","4347222","LOC4347222","9","protein HVA22","protein-coding","Os09g0450600","LOC_Os09g27730"
"27825","4347224","LOC4347224","9","1-aminocyclopropane-1-carboxylate oxidase 1","protein-coding","Os09g0451000","LOC_Os09g27750"
"27826","4347225","LOC4347225","9","1-aminocyclopropane-1-carboxylate oxidase 1-like","protein-coding","Os09g0451400","LOC_Os09g27820"
"27827","4347226","LOC4347226","9","protein disulfide isomerase-like 2-3","protein-coding","Os09g0451500","LOC_Os09g27830"
"27828","4347228","LOC4347228","9","uncharacterized LOC4347228","protein-coding","Os09g0451800","LOC_Os09g27860"
"27829","4347230","LOC4347230","9","lysM domain-containing GPI-anchored protein LYP4-like","protein-coding","Os09g0452200","LOC_Os09g27890"
"27830","107276372","LOC107276372","9","probable plastidic glucose transporter 1","protein-coding","Os09g0452300","LOC_Os09g27900"
"27831","4347231","LOC4347231","9","aspartic proteinase nepenthesin-1","protein-coding","Os09g0452400","LOC_Os09g27910"
"27832","4347232","LOC4347232","9","ubiquitin","protein-coding","Os09g0452700","LOC_Os09g27930"
"27833","4347233","LOC4347233","9","aspartic proteinase nepenthesin-1","protein-coding","Os09g0452800","LOC_Os09g27940"
"27834","4347234","LOC4347234","9","beta-1,3-galactosyltransferase 7","protein-coding","Os09g0452900","LOC_Os09g27950"
"27835","4347235","LOC4347235","9","transmembrane protein 50 homolog","protein-coding","Os09g0453000","LOC_Os09g27960"
"27836","4347237","LOC4347237","9","transmembrane emp24 domain-containing protein p24delta4","protein-coding","Os09g0453200","LOC_Os09g27980"
"27837","4347238","LOC4347238","9","annexin D8","protein-coding","Os09g0453300","LOC_Os09g27990"
"27838","4347239","LOC4347239","9","thylakoidal processing peptidase 1, chloroplastic","protein-coding","Os09g0453400","LOC_Os09g28000"
"27839","4347240","LOC4347240","9","nuclear pore complex protein NUP58","protein-coding","Os09g0453500","LOC_Os09g28019"
"27840","4347241","LOC4347241","9","dipeptidyl aminopeptidase BI","protein-coding","Os09g0453700","LOC_Os09g28040"
"27841","4347242","LOC4347242","9","probable N-succinyldiaminopimelate aminotransferase DapC","protein-coding","Os09g0453800","LOC_Os09g28050"
"27842","4347243","LOC4347243","9","radial spoke head 10 homolog B","protein-coding","Os09g0453900","LOC_Os09g28060"
"27843","4347244","LOC4347244","9","RHOMBOID-like protein 10, chloroplastic","protein-coding","Os09g0454100","LOC_Os09g28100"
"27844","4347246","LOC4347246","9","F-box protein At1g10780","protein-coding","Os09g0454300","LOC_Os09g28120"
"27845","4347247","LOC4347247","9","alpha carbonic anhydrase 7","protein-coding","Os09g0454400","LOC_Os09g28130"
"27846","4347248","LOC4347248","9","mitochondrial phosphate carrier protein 3, mitochondrial","protein-coding","Os09g0454600","LOC_Os09g28160"
"27847","4347249","LOC4347249","9","G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370","protein-coding","Os09g0454900","LOC_Os09g28180"
"27848","4347251","LOC4347251","9","heat stress transcription factor B-4c-like","protein-coding","Os09g0455200","LOC_Os09g28200"
"27849","4347252","LOC4347252","9","transcription factor HEC2","protein-coding","Os09g0455300","LOC_Os09g28210"
"27850","4347253","LOC4347253","9","NF-kappa-B-activating protein","protein-coding","Os09g0455400","LOC_Os09g28220"
"27851","4347254","LOC4347254","9","2-hydroxyisoflavanone dehydratase","protein-coding","Os09g0455500","LOC_Os09g28230"
"27852","4347255","LOC4347255","9","tuliposide A-converting enzyme b1, amyloplastic","protein-coding","Os09g0455900","LOC_Os09g28280"
"27853","4347256","LOC4347256","9","uncharacterized LOC4347256","protein-coding","Os09g0456100","LOC_Os09g28300"
"27854","4347257","LOC4347257","9","bZIP transcription factor TRAB1-like","protein-coding","Os09g0456200","LOC_Os09g28310"
"27855","4347258","LOC4347258","9","uncharacterized LOC4347258","protein-coding","Os09g0456700","LOC_Os09g28340"
"27856","4347259","LOC4347259","9","heat stress transcription factor B-1-like","protein-coding","Os09g0456800","LOC_Os09g28354"
"27857","112936351","LOC112936351","9","uncharacterized LOC112936351","protein-coding","Os09g0456900","LOC_Os09g28370"
"27858","4347261","LOC4347261","9","abscisic acid 8'-hydroxylase 3-like","protein-coding","Os09g0457100","LOC_Os09g28390"
"27859","4347262","LOC4347262","9","alpha-amylase isozyme 3A-like","protein-coding","Os09g0457400","LOC_Os09g28400"
"27860","9271949","LOC9271949","9","alpha-amylase isozyme 3B","protein-coding","Os09g0457600","LOC_Os09g28420"
"27861","4347265","LOC4347265","9","alpha-amylase isozyme 3C","protein-coding","Os09g0457800","LOC_Os09g28420"
"27862","4347266","LOC4347266","9","ethylene-responsive transcription factor ERF109","protein-coding","Os09g0457900","LOC_Os09g28440"
"27863","4347267","LOC4347267","9","protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1","protein-coding","Os09g0458000","LOC_Os09g28450"
"27864","4347268","LOC4347268","9","probable fucosyltransferase 7","protein-coding","Os09g0458100","LOC_Os09g28460"
"27865","4347270","LOC4347270","9","probable LRR receptor-like serine/threonine-protein kinase At1g67720","protein-coding","Os09g0458200","LOC_Os09g28470"
"27866","4347271","LOC4347271","9","protein disulfide-isomerase SCO2","protein-coding","Os09g0458400","LOC_Os09g28480"
"27867","4347274","LOC4347274","9","calmodulin-like protein 1","protein-coding","Os09g0458700","LOC_Os09g28480"
"27868","9268821","LOC9268821","9","probable calcium-binding protein CML15","protein-coding","Os09g0458800","LOC_Os09g28500"
"27869","4347275","LOC4347275","9","probable calcium-binding protein CML15","protein-coding","Os09g0458900","LOC_Os09g28510"
"27870","4347276","LOC4347276","9","uncharacterized LOC4347276","protein-coding","Os09g0459200","LOC_Os09g28520"
"27871","4347277","LOC4347277","9","probable BRI1 kinase inhibitor 1","protein-coding","Os09g0459500","LOC_Os09g28550"
"27872","4347278","LOC4347278","9","probable protein phosphatase 2C 69","protein-coding","Os09g0459600","LOC_Os09g28560"
"27873","4347279","LOC4347279","9","prostaglandin reductase-3","protein-coding","Os09g0459800","LOC_Os09g28570"
"27874","4347280","LOC4347280","9","cyclin-dependent kinase inhibitor 6-like","protein-coding","Os09g0459900","LOC_Os09g28580"
"27875","4347281","LOC4347281","9","DPH4 homolog","protein-coding","Os09g0460000","LOC_Os09g28590"
"27876","4347282","LOC4347282","9","uncharacterized LOC4347282","protein-coding","Os09g0460100","LOC_Os09g28600"
"27877","4347283","LOC4347283","9","protein transport protein SEC23","protein-coding","Os09g0460200","LOC_Os09g28610"
"27878","4347284","LOC4347284","9","2-hydroxyisoflavanone dehydratase","protein-coding","Os09g0460300","LOC_Os09g28620"
"27879","4347285","LOC4347285","9","tuliposide A-converting enzyme b1, amyloplastic","protein-coding","Os09g0460400","LOC_Os09g28630"
"27880","4347286","LOC4347286","9","tuliposide A-converting enzyme 1, chloroplastic","protein-coding","Os09g0460500","LOC_Os09g28640"
"27881","4347287","LOC4347287","9","tuliposide A-converting enzyme b1, amyloplastic","protein-coding","Os09g0460700","LOC_Os09g28650"
"27882","4347289","LOC4347289","9","probable carboxylesterase 2","protein-coding","Os09g0461500","LOC_Os09g28690"
"27883","4347291","LOC4347291","9","tuliposide A-converting enzyme 1, chloroplastic","protein-coding","Os09g0461700","LOC_Os09g28720"
"27884","9270290","LOC9270290","9","probable carboxylesterase 7","protein-coding","Os09g0461900","LOC_Os09g28730"
"27885","4347295","LOC4347295","9","probable carboxylesterase 2","protein-coding","Os09g0462100","LOC_Os09g28740"
"27886","4347296","LOC4347296","9","tuliposide A-converting enzyme 1, chloroplastic","protein-coding","Os09g0462200","LOC_Os09g28750"
"27887","4347298","LOC4347298","9","patatin-like protein 2","protein-coding","Os09g0462400","LOC_Os09g28770"
"27888","4347299","LOC4347299","9","polyadenylate-binding protein RBP47","protein-coding","Os09g0462700","LOC_Os09g28810"
"27889","9267706","LOC9267706","9","serine carboxypeptidase II-3","protein-coding","Os09g0462875","LOC_Os09g28830"
"27890","4347301","LOC4347301","9","uncharacterized LOC4347301","protein-coding","Os09g0463300","LOC_Os09g28850"
"27891","4347302","LOC4347302","9","protein MIZU-KUSSEI 1","protein-coding","Os09g0463600","LOC_Os09g28880"
"27892","4347303","LOC4347303","9","protein transport protein SEC31","protein-coding","Os09g0463700","LOC_Os09g28890"
"27893","107277475","LOC107277475","9","transcription factor bHLH131","protein-coding","Os09g0463900","LOC_Os09g28900"
"27894","4347305","LOC4347305","9","beta carbonic anhydrase 5, chloroplastic","protein-coding","Os09g0464000","LOC_Os09g28910"
"27895","107277367","LOC107277367","9","AT-hook motif nuclear-localized protein 17","protein-coding","Os09g0464300","LOC_Os09g28930"
"27896","4347307","LOC4347307","9","ubiquitin carboxyl-terminal hydrolase 16","protein-coding","Os09g0464400","LOC_Os09g28940"
"27897","4347309","LOC4347309","9","mitochondrial uncoupling protein 5","protein-coding","Os09g0465400","LOC_Os09g29050"
"27898","4347310","LOC4347310","9","uncharacterized LOC4347310","protein-coding","Os09g0465500","LOC_Os09g29060"
"27899","4347311","LOC4347311","9","glucose-6-phosphate isomerase 1, chloroplastic","protein-coding","Os09g0465600","LOC_Os09g29070"
"27900","4347312","LOC4347312","9","protein CURVATURE THYLAKOID 1D, chloroplastic","protein-coding","Os09g0465800","LOC_Os09g29080"
"27901","4347313","LOC4347313","9","cyclin-D4-1-like","protein-coding","Os09g0466100","LOC_Os09g29100"
"27902","4347314","LOC4347314","9","GLABRA2 expression modulator","protein-coding","Os09g0466300","LOC_Os09g29120"
"27903","4347315","LOC4347315","9","zinc-finger homeodomain protein 1-like","protein-coding","Os09g0466400","LOC_Os09g29130"
"27904","4347316","LOC4347316","9","uncharacterized LOC4347316","protein-coding","Os09g0466800","LOC_Os09g29160"
"27905","4347317","LOC4347317","9","serine/threonine-protein kinase PEPKR2","protein-coding","Os09g0466900","LOC_Os09g29170"
"27906","4347318","LOC4347318","9","phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic","protein-coding","Os09g0467100","LOC_Os09g29190"
"27907","4347319","LOC4347319","9","glutathione transferase GST 23","protein-coding","Os09g0467200","LOC_Os09g29200"
"27908","4347320","LOC4347320","9","purine permease 3","protein-coding","Os09g0467300","LOC_Os09g29210"
"27909","4347321","LOC4347321","9","purine permease 3","protein-coding","Os09g0467400","LOC_Os09g29239"
"27910","4347323","LOC4347323","9","uncharacterized LOC4347323","protein-coding","Os09g0467700","LOC_Os09g29270"
"27911","4347324","LOC4347324","9","protein DETOXIFICATION 27","protein-coding","Os09g0468000","LOC_Os09g29284"
"27912","9267864","LOC9267864","9","putative clathrin assembly protein At4g40080","protein-coding","Os09g0468150","LOC_Os09g29300"
"27913","9269620","LOC9269620","9","E3 ubiquitin-protein ligase ATL6","protein-coding","Os09g0468300","LOC_Os09g29310"
"27914","9267272","LOC9267272","9","transcription factor bHLH94","protein-coding","Os09g0468700","LOC_Os09g29360"
"27915","107275312","LOC107275312","9","E3 ubiquitin-protein ligase RING1","protein-coding","Os09g0468800","LOC_Os09g29370"
"27916","4347326","LOC4347326","9","uncharacterized LOC4347326","protein-coding","Os09g0468900","LOC_Os09g29380"
"27917","4347327","LOC4347327","9","mavicyanin","protein-coding","Os09g0469300","LOC_Os09g29390"
"27918","4347328","LOC4347328","9","isoamylase 3, chloroplastic-like","protein-coding","Os09g0469400","LOC_Os09g29404"
"27919","4347331","LOC4347331","9","queuine tRNA-ribosyltransferase catalytic subunit 1","protein-coding","Os09g0469900","LOC_Os09g29420"
"27920","4347332","LOC4347332","9","dicarboxylate transporter 2.1, chloroplastic","protein-coding","Os09g0469950","LOC_Os09g29430"
"27921","4347333","LOC4347333","9","homeobox-leucine zipper protein HOX4-like","protein-coding","Os09g0470500","LOC_Os09g29460"
"27922","4347334","LOC4347334","9","protein SCAI homolog","protein-coding","Os09g0470900","LOC_Os09g29470"
"27923","4347335","LOC4347335","9","plant cysteine oxidase 1","protein-coding","Os09g0471000","LOC_Os09g29480"
"27924","4347336","LOC4347336","9","peroxidase 17","protein-coding","Os09g0471100","LOC_Os09g29490"
"27925","4347337","LOC4347337","9","putative wall-associated receptor kinase-like 16","protein-coding","Os09g0471200","LOC_Os09g29510"
